1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
擦寫,擦写,ca1 xie3],to erase,,,,,,,,,,,,,,,,,
擦屁股,擦屁股,ca1 pi4 gu5],(lit.) to wipe one’s ass,(coll.) to clear up sb else's mess,,,,,,,,,,,,,,,,
擦抹,擦抹,ca1 mo3],to wipe,,,,,,,,,,,,,,,,,
擦拭,擦拭,ca1 shi4],to wipe clean,,,,,,,,,,,,,,,,,
擦掉,擦掉,ca1 diao4],to wipe,,,,,,,,,,,,,,,,,
擦掠,擦掠,ca1 lu:e4],to brush against,to graze,to scratch,,,,,,,,,,,,,,,
擦擦筆,擦擦笔,ca1 ca1 bi3],erasable pen,,,,,,,,,,,,,,,,,
擦棒球,擦棒球,ca1 bang4 qiu2],foul tip,,,,,,,,,,,,,,,,,
擦槍走火,擦枪走火,ca1 qiang1 zou3 huo3],to shoot accidentally while polishing a gun,(fig.) a minor incident that sparks a war,,,,,,,,,,,,,,,,
擦油,擦油,ca1 you2],to oil,to anoint,,,,,,,,,,,,,,,,
擦洗,擦洗,ca1 xi3],to clean (with water or alcohol),to wipe and wash,to swab,to scrub,,,,,,,,,,,,,,
擦澡,擦澡,ca1 zao3],to rub oneself down with a wet towel,to take a sponge bath,,,,,,,,,,,,,,,,
擦碗布,擦碗布,ca1 wan3 bu4],dish cloth,tea towel,,,,,,,,,,,,,,,,
擦網球,擦网球,ca1 wang3 qiu2],net ball,let (tennis etc),,,,,,,,,,,,,,,,
擦肩而過,擦肩而过,ca1 jian1 er2 guo4],brief encounter,to brush past sb,,,,,,,,,,,,,,,,
擦腚紙,擦腚纸,ca1 ding4 zhi3],toilet paper,,,,,,,,,,,,,,,,,
擦身而過,擦身而过,ca1 shen1 er2 guo4],to brush past,,,,,,,,,,,,,,,,,
擦邊球,擦边球,ca1 bian1 qiu2],lit. to hit a ball or shuttlecock on the sideline,fig. to skirt the line legally or morally,,,,,,,,,,,,,,,,
擦鞋墊,擦鞋垫,ca1 xie2 dian4],doormat,,,,,,,,,,,,,,,,,
擦音,擦音,ca1 yin1],fricative,,,,,,,,,,,,,,,,,
擦黑兒,擦黑儿,ca1 hei1 r5],(dialect) dusk,,,,,,,,,,,,,,,,,
擧,举,ju3],variant of 舉|举[ju3],,,,,,,,,,,,,,,,,
擨,擨,ye2],archaic variant of 揶[ye2],,,,,,,,,,,,,,,,,
擩,擩,ru3],to stain,to dye,,,,,,,,,,,,,,,,
擫,擫,ye4],to press down,,,,,,,,,,,,,,,,,
擬,拟,ni3],to plan to,to draft (a plan),to imitate,to assess,to compare,pseudo-,,,,,,,,,,,,
擬人,拟人,ni3 ren2],personification,anthropomorphism,,,,,,,,,,,,,,,,
擬作,拟作,ni3 zuo4],to write in the style of some author,to write as if from the mouth of sb,a pastiche,,,,,,,,,,,,,,,
擬具,拟具,ni3 ju4],to draft,to devise,to compose,,,,,,,,,,,,,,,
擬古,拟古,ni3 gu3],to emulate a classic,to work in the style of a classic (author),,,,,,,,,,,,,,,,
擬古之作,拟古之作,ni3 gu3 zhi1 zuo4],a work in a classic style,a pastiche,,,,,,,,,,,,,,,,
擬合,拟合,ni3 he2],to fit (data to a model),a (close) fit,,,,,,,,,,,,,,,,
擬大朱雀,拟大朱雀,ni3 da4 zhu1 que4],(bird species of China) streaked rosefinch (Carpodacus rubicilloides),,,,,,,,,,,,,,,,,
擬定,拟定,ni3 ding4],to draw up,to draft,to formulate,,,,,,,,,,,,,,,
擬態,拟态,ni3 tai4],(biol.) mimicry,(protective) mimicry,camouflage,,,,,,,,,,,,,,,
擬於不倫,拟于不伦,ni3 yu2 bu4 lun2],to draw an impossible comparison,,,,,,,,,,,,,,,,,
擬游隼,拟游隼,ni3 you2 sun3],(bird species of China) Barbary falcon (Falco pelegrinoides),,,,,,,,,,,,,,,,,
擬球,拟球,ni3 qiu2],(math.) pseudosphere a surface in ordinary space of constant negative curvature,,,,,,,,,,,,,,,,,
擬稿,拟稿,ni3 gao3],to draft (a statement),,,,,,,,,,,,,,,,,
擬聲,拟声,ni3 sheng1],onomatopoeia,,,,,,,,,,,,,,,,,
擬聲唱法,拟声唱法,ni3 sheng1 chang4 fa3],scat singing,,,,,,,,,,,,,,,,,
擬聲詞,拟声词,ni3 sheng1 ci2],onomatopoeia,,,,,,,,,,,,,,,,,
擬製,拟制,ni3 zhi4],to copy (a model),,,,,,,,,,,,,,,,,
擬訂,拟订,ni3 ding4],to draw up (a plan),,,,,,,,,,,,,,,,,
擬議,拟议,ni3 yi4],proposal,recommendation,to draft,,,,,,,,,,,,,,,
擬阿拖品藥物,拟阿拖品药物,ni3 a1 tuo1 pin3 yao4 wu4],atropinemimetic drug,,,,,,,,,,,,,,,,,
擬音,拟音,ni3 yin1],to make a sound effect,sound effect,,,,,,,,,,,,,,,,
擬鹵素,拟卤素,ni3 lu3 su4],pseudohalogen e.g. cyanogen (CN)2,,,,,,,,,,,,,,,,,
擭,擭,huo4],trap,,,,,,,,,,,,,,,,,
擯,摈,bin4],to reject,to expel,to discard,to exclude,to renounce,,,,,,,,,,,,,
擯斥,摈斥,bin4 chi4],to reject,to dismiss,,,,,,,,,,,,,,,,
擯棄,摈弃,bin4 qi4],to abandon,to discard,to cast away,,,,,,,,,,,,,,,
擯除,摈除,bin4 chu2],to discard,to get rid of,to dispense with,,,,,,,,,,,,,,,
擰,拧,ning2],to pinch,wring,,,,,,,,,,,,,,,,
擰,拧,ning3],mistake,to twist,,,,,,,,,,,,,,,,
擰,拧,ning4],stubborn,,,,,,,,,,,,,,,,,
擰成一股繩,拧成一股绳,ning2 cheng2 yi1 gu3 sheng2],to twist together to form a rope,(fig.) to unite,to work together,,,,,,,,,,,,,,,
擰開,拧开,ning3 kai1],to unscrew,to twist off (a lid),to turn on (a faucet),to switch on (by turning a knob),to turn (a door handle),to wrench apart,,,,,,,,,,,,
擱,搁,ge1],to place,to put aside,to shelve,,,,,,,,,,,,,,,
擱,搁,ge2],to bear,to stand,to endure,,,,,,,,,,,,,,,
擱板,搁板,ge1 ban3],shelf,,,,,,,,,,,,,,,,,
擱淺,搁浅,ge1 qian3],to be stranded (of ship),to run aground,fig. to run into difficulties and stop,,,,,,,,,,,,,,,
擱筆,搁笔,ge1 bi3],to put down the pen,to stop writing,,,,,,,,,,,,,,,,
擱置,搁置,ge1 zhi4],to shelve,to set aside,,,,,,,,,,,,,,,,
擱腳板,搁脚板,ge1 jiao3 ban3],footrest,,,,,,,,,,,,,,,,,
擱腳物,搁脚物,ge1 jiao3 wu4],footrest,,,,,,,,,,,,,,,,,
擲,掷,zhi4],to toss,to throw dice,Taiwan pr. [zhi2],,,,,,,,,,,,,,,
擲地有聲,掷地有声,zhi4 di4 you3 sheng1],lit. if thrown on the floor it will make a sound (idiom),fig. (of one's words) powerful and resonating,to have substance,,,,,,,,,,,,,,,
擲色,掷色,zhi4 shai3],to throw the dice,,,,,,,,,,,,,,,,,
擲還,掷还,zhi4 huan2],please return (an item sent in the mail),,,,,,,,,,,,,,,,,
擲骰子,掷骰子,zhi4 tou2 zi5],to throw the dice,,,,,,,,,,,,,,,,,
擴,扩,kuo4],enlarge,,,,,,,,,,,,,,,,,
擴充,扩充,kuo4 chong1],to expand,,,,,,,,,,,,,,,,,
擴印,扩印,kuo4 yin4],to enlarge (a photo),to print larger,,,,,,,,,,,,,,,,
擴及,扩及,kuo4 ji2],to extend to,,,,,,,,,,,,,,,,,
擴增,扩增,kuo4 zeng1],to augment,to amplify,to extend,to expand,,,,,,,,,,,,,,
擴增實境,扩增实境,kuo4 zeng1 shi2 jing4],augmented reality (computing),,,,,,,,,,,,,,,,,
擴大,扩大,kuo4 da4],to expand,to enlarge,to broaden one's scope,,,,,,,,,,,,,,,
擴大再生產,扩大再生产,kuo4 da4 zai4 sheng1 chan3],to expand production,to reproduce on an extended scale,,,,,,,,,,,,,,,,
擴大化,扩大化,kuo4 da4 hua4],to extend the scope,to exaggerate,,,,,,,,,,,,,,,,
擴孔,扩孔,kuo4 kong3],to widen a tube,to ream (i.e. widen a hole),,,,,,,,,,,,,,,,
擴展,扩展,kuo4 zhan3],to extend,to expand,extension,expansion,,,,,,,,,,,,,,
擴展塢,扩展坞,kuo4 zhan3 wu4],docking station,,,,,,,,,,,,,,,,,
擴建,扩建,kuo4 jian4],to extend a building,,,,,,,,,,,,,,,,,
擴張,扩张,kuo4 zhang1],expansion,dilation,to expand (e.g. one's power or influence),to broaden,,,,,,,,,,,,,,
擴散,扩散,kuo4 san4],to spread,to proliferate,to diffuse,spread,proliferation,diffusion,,,,,,,,,,,,
擴散周知,扩散周知,kuo4 san4 zhou1 zhi1],to let everyone know,spread the word!,,,,,,,,,,,,,,,,
擴版,扩版,kuo4 ban3],to increase the format of a publication,,,,,,,,,,,,,,,,,
擴編,扩编,kuo4 bian1],to expand (esp. by new recruitment),to increase the army,to augment,,,,,,,,,,,,,,,
擴胸器,扩胸器,kuo4 xiong1 qi4],chest expander (gymnastic apparatus),,,,,,,,,,,,,,,,,
擴軍,扩军,kuo4 jun1],armament,to expand armed forces,,,,,,,,,,,,,,,,
擴音,扩音,kuo4 yin1],to amplify (sound),,,,,,,,,,,,,,,,,
擴音器,扩音器,kuo4 yin1 qi4],megaphone,loudspeaker,amplifier,microphone,,,,,,,,,,,,,,
擴音機,扩音机,kuo4 yin1 ji1],amplifier,loudspeaker,hearing aid,,,,,,,,,,,,,,,
擷,撷,xie2],to collect,Taiwan pr. [jie2],,,,,,,,,,,,,,,,
擷取,撷取,xie2 qu3],to pick,to select,to take,to capture (data),to acquire,to pick up (a signal),,,,,,,,,,,,
擸,擸,lie4],to hold to grasp,to hold the hair,to pull at,,,,,,,,,,,,,,,
擺,摆,bai3],to arrange,to exhibit,to move to and fro,a pendulum,,,,,,,,,,,,,,
擺了一道,摆了一道,bai3 le5 yi1 dao4],to play tricks on,to make a fool of,,,,,,,,,,,,,,,,
擺事實講道理,摆事实讲道理,bai3 shi4 shi2 jiang3 dao4 li3],present the facts and reason things out,,,,,,,,,,,,,,,,,
擺出,摆出,bai3 chu1],to assume,to adopt (a look pose manner etc),to bring out for display,,,,,,,,,,,,,,,
擺動,摆动,bai3 dong4],to sway,to swing,to move back and forth,to oscillate,,,,,,,,,,,,,,
擺地攤,摆地摊,bai3 di4 tan1],lit. to set up a stall on the ground,fig. to start up a new business,,,,,,,,,,,,,,,,
擺子,摆子,bai3 zi3],malaria,,,,,,,,,,,,,,,,,
擺布,摆布,bai3 bu4],to arrange,to order about,to manipulate,,,,,,,,,,,,,,,
擺平,摆平,bai3 ping2],to be fair,to be impartial,to settle (a matter etc),,,,,,,,,,,,,,,
擺弄,摆弄,bai3 nong4],to move back and forth,to fiddle with,,,,,,,,,,,,,,,,
擺手,摆手,bai3 shou3],to wave one's hand,to gesture with one's hand (beckoning waving good-bye etc),to swing one's arms,,,,,,,,,,,,,,,
擺攤,摆摊,bai3 tan1],to set up a vendor's stall in the street,,,,,,,,,,,,,,,,,
擺攤子,摆摊子,bai3 tan1 zi5],to set up a stall,to maintain a large staff and organization,,,,,,,,,,,,,,,,
擺放,摆放,bai3 fang4],to set up,to arrange,to lay out,,,,,,,,,,,,,,,
擺明,摆明,bai3 ming2],to show clearly,,,,,,,,,,,,,,,,,
擺晃,摆晃,bai3 huang4],to swing,to sway,,,,,,,,,,,,,,,,
擺架子,摆架子,bai3 jia4 zi5],to put on airs,to assume great airs,,,,,,,,,,,,,,,,
擺樣子,摆样子,bai3 yang4 zi5],to do sth for show,to keep up appearances,,,,,,,,,,,,,,,,
擺渡,摆渡,bai3 du4],ferry,,,,,,,,,,,,,,,,,
擺滿,摆满,bai3 man3],to spread over an area,,,,,,,,,,,,,,,,,
擺烏龍,摆乌龙,bai3 wu1 long2],to mess something up,to screw up,,,,,,,,,,,,,,,,
擺線,摆线,bai3 xian4],cycloid,,,,,,,,,,,,,,,,,
擺脫,摆脱,bai3 tuo1],to break away from,to cast off (old ideas etc),to get rid of,to break away (from),to break out (of),to free oneself from,to extricate oneself,,,,,,,,,,,
擺脫危機,摆脱危机,bai3 tuo1 wei1 ji1],to break out of a crisis,,,,,,,,,,,,,,,,,
擺花架子,摆花架子,bai3 hua1 jia4 zi5],lit. to arrange a shelf of flowers,superficial display (idiom),,,,,,,,,,,,,,,,
擺蕩,摆荡,bai3 dang4],to swing,to sway,,,,,,,,,,,,,,,,
擺設,摆设,bai3 she4],to arrange,to set out,to decorate,to display,decorative items,,,,,,,,,,,,,
擺設兒,摆设儿,bai3 she5 r5],decorative items,ornaments,,,,,,,,,,,,,,,,
擺譜,摆谱,bai3 pu3],to put on airs,to be ostentatious,,,,,,,,,,,,,,,,
擺譜兒,摆谱儿,bai3 pu3 r5],erhua variant of 擺譜|摆谱[bai3 pu3],,,,,,,,,,,,,,,,,
擺賣,摆卖,bai3 mai4],hawking,street vending,,,,,,,,,,,,,,,,
擺輪,摆轮,bai3 lun2],balance (of a watch or clock),balance wheel,,,,,,,,,,,,,,,,
擺造型,摆造型,bai3 zao4 xing2],to pose (for a picture),,,,,,,,,,,,,,,,,
擺鐘,摆钟,bai3 zhong1],pendulum clock,,,,,,,,,,,,,,,,,
擺門面,摆门面,bai3 men2 mian4],to keep up appearances,to put up a front,,,,,,,,,,,,,,,,
擺闊,摆阔,bai3 kuo4],to parade one's wealth,to be ostentatious and extravagant,,,,,,,,,,,,,,,,
擺龍門陣,摆龙门阵,bai3 long2 men2 zhen4],chat,gossip,spin a yarn,,,,,,,,,,,,,,,
擻,擞,sou3],shake,trembling,,,,,,,,,,,,,,,,
擼,撸,lu1],(dialect) to rub one's hand along,to fire (an employee),to reprimand,,,,,,,,,,,,,,,
擼管,撸管,lu1 guan3],(slang) to masturbate,,,,,,,,,,,,,,,,,
擽,㧰,lu:e4],(old) to beat,to pound,,,,,,,,,,,,,,,,
擾,扰,rao3],to disturb,,,,,,,,,,,,,,,,,
擾亂,扰乱,rao3 luan4],to disturb,to perturb,to harass,,,,,,,,,,,,,,,
擾動,扰动,rao3 dong4],to disturb,to stir up,disturbance,agitation,turmoil,,,,,,,,,,,,,
擾攘,扰攘,rao3 rang3],bustling,to create trouble,to disturb,,,,,,,,,,,,,,,
擾流板,扰流板,rao3 liu2 ban3],spoiler (automotive or aeronautical),,,,,,,,,,,,,,,,,
擿,擿,ti1],to select,to nitpick,to expose,,,,,,,,,,,,,,,
擿,擿,zhi4],to scratch,old variant of 擲|掷[zhi4],,,,,,,,,,,,,,,,
攀,攀,pan1],to climb (by pulling oneself up),to implicate,to claim connections of higher status,,,,,,,,,,,,,,,
攀供,攀供,pan1 gong4],to implicate others without foundation in confessing one's own crime,,,,,,,,,,,,,,,,,
攀升,攀升,pan1 sheng1],to clamber up,(of prices etc) to rise,,,,,,,,,,,,,,,,
攀害,攀害,pan1 hai4],damaged by slander,,,,,,,,,,,,,,,,,
攀岩,攀岩,pan1 yan2],rock climbing,to climb a rockface,,,,,,,,,,,,,,,,
攀扯,攀扯,pan1 che3],to implicate,,,,,,,,,,,,,,,,,
攀援,攀援,pan1 yuan2],to climb up (a rope etc),climbing (plant),,,,,,,,,,,,,,,,
攀枝花,攀枝花,Pan1 zhi1 hua1],Panzhihua prefecture-level city in the south of Sichuan,,,,,,,,,,,,,,,,,
攀枝花,攀枝花,pan1 zhi1 hua1],kapok (tree),,,,,,,,,,,,,,,,,
攀枝花地區,攀枝花地区,Pan1 zhi1 hua1 di4 qu1],Panzhihua prefecture in south Sichuan bordering Yunnan,,,,,,,,,,,,,,,,,
攀枝花市,攀枝花市,Pan1 zhi1 hua1 shi4],Panzhihua prefecture level city in south Sichuan bordering Yunnan famous for steel production and pollution,,,,,,,,,,,,,,,,,
攀比,攀比,pan1 bi3],to make invidious comparisons,to compete with,to emulate,,,,,,,,,,,,,,,
攀爬,攀爬,pan1 pa2],to climb,,,,,,,,,,,,,,,,,
攀登,攀登,pan1 deng1],to climb,to pull oneself up,to clamber,to scale,fig. to forge ahead in the face of hardships and danger,,,,,,,,,,,,,
攀親,攀亲,pan1 qin1],to seek to profit by family ties,,,,,,,,,,,,,,,,,
攀親道故,攀亲道故,pan1 qin1 dao4 gu4],to use claims to kinship or friendship to climb socially (idiom),,,,,,,,,,,,,,,,,
攀誣,攀诬,pan1 wu1],to frame,to accuse unjustly,,,,,,,,,,,,,,,,
攀誣陷害,攀诬陷害,pan1 wu1 xian4 hai4],unjust accusation,miscarriage of justice,,,,,,,,,,,,,,,,
攀談,攀谈,pan1 tan2],to chat,,,,,,,,,,,,,,,,,
攀越,攀越,pan1 yue4],to climb over,to get over (difficulties),to scale,to surmount,,,,,,,,,,,,,,
攀附,攀附,pan1 fu4],to climb (of climbing plants),to creep,to cling on to,fig. to seek connection (with the rich and powerful),social climbing,,,,,,,,,,,,,
攀附權貴,攀附权贵,pan1 fu4 quan2 gui4],to cling to the powerful and rich (idiom); social climbing,,,,,,,,,,,,,,,,,
攀高結貴,攀高结贵,pan1 gao1 jie2 gui4],lit. to cling to the high connect to the rich (idiom); to try to attach oneself to the rich and powerful,social climbing,,,,,,,,,,,,,,,,
攀龍附鳳,攀龙附凤,pan1 long2 fu4 feng4],see 扳龍附鳳|扳龙附凤[ban1 long2 fu4 feng4],,,,,,,,,,,,,,,,,
攂,攂,lei2],old variant of 擂[lei2],to beat,,,,,,,,,,,,,,,,
攃,攃,sa4],preceding,,,,,,,,,,,,,,,,,
攄,摅,shu1],set forth,to spread,,,,,,,,,,,,,,,,
攆,撵,nian3],to expel,to oust,,,,,,,,,,,,,,,,
攆出,撵出,nian3 chu1],to expel,to drive out,to oust,,,,,,,,,,,,,,,
攆走,撵走,nian3 zou3],to drive out,to oust,,,,,,,,,,,,,,,,
攈,攈,jun4],old variant of 捃[jun4],,,,,,,,,,,,,,,,,
攉,攉,huo1],to shovel,,,,,,,,,,,,,,,,,
攉煤機,攉煤机,huo1 mei2 ji1],coal-shovel machine,,,,,,,,,,,,,,,,,
攋,攋,la4],to destroy,to rip,to tear open,,,,,,,,,,,,,,,
攏,拢,long3],to gather together,to collect,to approach,to draw near to,to add,to sum up,to comb (hair),,,,,,,,,,,
攏攥,拢攥,long3 zuan4],to grasp,to clutch,,,,,,,,,,,,,,,,
攐,攐,qian1],variant of 褰 to hold up the hem of clothes,to lift up the skirts,,,,,,,,,,,,,,,,
攓,攓,qian1],variant of 搴[qian1] to seize,,,,,,,,,,,,,,,,,
攔,拦,lan2],to block sb's path,to obstruct,to flag down (a taxi),,,,,,,,,,,,,,,
攔住,拦住,lan2 zhu4],to stop,to bar the way,,,,,,,,,,,,,,,,
攔劫,拦劫,lan2 jie2],to mug,to intercept and rob,,,,,,,,,,,,,,,,
攔截,拦截,lan2 jie2],to intercept,,,,,,,,,,,,,,,,,
攔檢,拦检,lan2 jian3],(of police etc) to stop (sb) for inspection,to pull (sb) over,,,,,,,,,,,,,,,,
攔櫃,拦柜,lan2 gui4],sales counter,inquiry desk,,,,,,,,,,,,,,,,
攔河壩,拦河坝,lan2 he2 ba4],a dam across a river,,,,,,,,,,,,,,,,,
攔網,拦网,lan2 wang3],to intercept at the net (volleyball tennis etc),to block,,,,,,,,,,,,,,,,
攔腰,拦腰,lan2 yao1],(hitting) squarely in the middle,(slicing) across the middle,to hold by the waist,,,,,,,,,,,,,,,
攔路,拦路,lan2 lu4],to block sb's path,to waylay,,,,,,,,,,,,,,,,
攔路虎,拦路虎,lan2 lu4 hu3],stumbling block,,,,,,,,,,,,,,,,,
攔車,拦车,lan2 che1],to thumb a lift,to hitchhike,,,,,,,,,,,,,,,,
攔阻,拦阻,lan2 zu3],to block,to obstruct,,,,,,,,,,,,,,,,
攖,撄,ying1],oppose,to attack,,,,,,,,,,,,,,,,
攘,攘,rang3],to push up one's sleeves,to reject or resist,to seize,to perturb,to steal,,,,,,,,,,,,,
攘善,攘善,rang3 shan4],to claim credit due to others,to appropriate other's credit or honor,,,,,,,,,,,,,,,,
攘場,攘场,rang3 chang2],to spread harvested grain over an area,,,,,,,,,,,,,,,,,
攘外,攘外,rang3 wai4],to resist foreign aggression,,,,,,,,,,,,,,,,,
攘外安內,攘外安内,rang3 wai4 an1 nei4],to resist foreign aggression and pacify the interior of the country (idiom),,,,,,,,,,,,,,,,,
攘夷,攘夷,rang3 yi2],to repel the barbarians,,,,,,,,,,,,,,,,,
攘奪,攘夺,rang3 duo2],to seize,,,,,,,,,,,,,,,,,
攘攘,攘攘,rang3 rang3],disorderly,confused,chaotic,,,,,,,,,,,,,,,
攘災,攘灾,rang3 zai1],to ward off calamities,to avoid disaster,,,,,,,,,,,,,,,,
攘竊,攘窃,rang3 qie4],to usurp,to steal,,,,,,,,,,,,,,,,
攘羊,攘羊,rang3 yang2],to take home sb else's stray sheep,,,,,,,,,,,,,,,,,
攘臂,攘臂,rang3 bi4],to bare one's arms (in agitation),,,,,,,,,,,,,,,,,
攘袂,攘袂,rang3 mei4],to rise to action with a determined shake of the arms,,,,,,,,,,,,,,,,,
攘袖,攘袖,rang3 xiu4],to roll up the sleeves,,,,,,,,,,,,,,,,,
攘詬,攘诟,rang3 gou4],to clear oneself of dishonor,,,,,,,,,,,,,,,,,
攘辟,攘辟,rang3 bi4],to stand off,to make way,,,,,,,,,,,,,,,,
攘除,攘除,rang3 chu2],to get rid of,to weed out,to reject,,,,,,,,,,,,,,,
攙,搀,chan1],to take by the arm and assist,to mix,to blend,to dilute,to adulterate,,,,,,,,,,,,,
攙假,搀假,chan1 jia3],to dilute,to debase (by mixing with fake material),,,,,,,,,,,,,,,,
攙兌,搀兑,chan1 dui4],to mix (different substances together),to blend,,,,,,,,,,,,,,,,
攙合,搀合,chan1 he2],to mix together,mixture,blend,,,,,,,,,,,,,,,
攙和,搀和,chan1 huo5],to mix,to mingle,to interfere,to meddle,,,,,,,,,,,,,,
攙扶,搀扶,chan1 fu2],to lend an arm to support sb,,,,,,,,,,,,,,,,,
攙雜,搀杂,chan1 za2],to mix,to blend,to dilute,,,,,,,,,,,,,,,
攛,撺,cuan1],rush,stir up,throw,fling,hurry,rage,,,,,,,,,,,,
攛掇,撺掇,cuan1 duo5],to urge sb on,,,,,,,,,,,,,,,,,
攜,携,xie2],to carry,to take along,to bring along,to hold (hands),also pr. [xi1],,,,,,,,,,,,,
攜家帶口,携家带口,xie2 jia1 dai4 kou3],to take all one's family along (idiom); encumbered by a family,tied down by family obligations,,,,,,,,,,,,,,,,
攜家帶眷,携家带眷,xie2 jia1 dai4 juan4],to take all one's family along (idiom); encumbered by a family,tied down by family obligations,,,,,,,,,,,,,,,,
攜帶,携带,xie2 dai4],to carry (on one's person),to support (old),Taiwan pr. [xi1 dai4],,,,,,,,,,,,,,,
攜帶者,携带者,xie2 dai4 zhe3],carrier,,,,,,,,,,,,,,,,,
攜手,携手,xie2 shou3],hand in hand,to join hands,to collaborate,,,,,,,,,,,,,,,
攜手並肩,携手并肩,xie2 shou3 bing4 jian1],hand in hand and shoulder to shoulder,,,,,,,,,,,,,,,,,
攜手同行,携手同行,xie2 shou3 tong2 xing2],to walk hand in hand,to cooperate,,,,,,,,,,,,,,,,
攜款,携款,xie2 kuan3],to take funds (esp. illegally or corruptly obtained),,,,,,,,,,,,,,,,,
攜眷,携眷,xie2 juan4],accompanied by one's dependents,encumbered by wife and children,,,,,,,,,,,,,,,,
攜程旅行網,携程旅行网,Xie2 cheng2 Lu:3 xing2 Wang3],Ctrip.com PRC travel agency,,,,,,,,,,,,,,,,,
攝,摄,she4],to take in,to absorb,to assimilate,to act for,to take a photo,photo shoot,photo,to conserve (one's health),,,,,,,,,,
攝像,摄像,she4 xiang4],to videotape,,,,,,,,,,,,,,,,,
攝像機,摄像机,she4 xiang4 ji1],video camera,CL:部[bu4],,,,,,,,,,,,,,,,
攝像頭,摄像头,she4 xiang4 tou2],webcam,surveillance camera,,,,,,,,,,,,,,,,
攝入,摄入,she4 ru4],to take in,to absorb,to consume,intake,consumption,,,,,,,,,,,,,
攝入量,摄入量,she4 ru4 liang4],intake (quantity),,,,,,,,,,,,,,,,,
攝取,摄取,she4 qu3],to absorb (nutrients etc),to assimilate,intake,to take a photograph of (a scene),,,,,,,,,,,,,,
攝影,摄影,she4 ying3],to take a photograph,photography,to shoot (a movie),,,,,,,,,,,,,,,
攝影家,摄影家,she4 ying3 jia1],photographer,,,,,,,,,,,,,,,,,
攝影師,摄影师,she4 ying3 shi1],photographer,cameraman,,,,,,,,,,,,,,,,
攝影棚,摄影棚,she4 ying3 peng2],film studio,television studio,,,,,,,,,,,,,,,,
攝影機,摄影机,she4 ying3 ji1],camera,movie camera,,,,,,,,,,,,,,,,
攝影術,摄影术,she4 ying3 shu4],photography,,,,,,,,,,,,,,,,,
攝影記者,摄影记者,she4 ying3 ji4 zhe3],photojournalist,,,,,,,,,,,,,,,,,
攝政,摄政,she4 zheng4],to act as regent,,,,,,,,,,,,,,,,,
攝政王,摄政王,she4 zheng4 wang2],regent,,,,,,,,,,,,,,,,,
攝氏,摄氏,She4 shi4],Celsius,centigrade,,,,,,,,,,,,,,,,
攝氏度,摄氏度,she4 shi4 du4],degrees centigrade,,,,,,,,,,,,,,,,,
攝製,摄制,she4 zhi4],to produce (a TV show etc),,,,,,,,,,,,,,,,,
攝護腺,摄护腺,she4 hu4 xian4],prostate,also written 前列腺,,,,,,,,,,,,,,,,
攝護腺腫大,摄护腺肿大,she4 hu4 xian4 zhong3 da4],benign prostate hypertrophy,enlargement of prostate,,,,,,,,,,,,,,,,
